TOV_POS,TT100,TT101,TT102,TT103,TT104,TT105,TT106,TT108,TT109,TT110,TT112,TT119,TT120,TT121,TT122,TT123,TT124,TT125,TT126,TT210,TT212,GEN_POT_ATT_KW,GEN_TENSIONE,CPT104,CPT105,DPT113,IC113,ST102,XT101,TT127,TT128,TT129,TT130,FCV134,TOVSPOS,TOFS,XT100,PT212,Fault
99.878,295.136,252.982,280.723,52.253,88.99,26.219,270.359,257.732,199.856,234.988,91.238,129.931,60.999,64.375,74.491,64.763,67.98,65.074,50.683,53.795,62.066,892.008,665.824,9.87,0.275,2805.523,878.549,3007.45,0.073,117.882,241.693,212.419,171.55,100.0,95.023,1000.0,0.562,332.248,0
99.842,298.364,254.508,283.051,52.301,87.906,27.731,273.001,259.754,201.03,237.482,90.942,130.146,62.783,65.549,75.656,67.738,71.014,68.135,47.736,55.318,64.106,945.201,668.631,10.202,0.271,2802.326,895.422,3008.369,0.074,116.041,241.631,210.434,173.34,100.0,95.001,1000.0,0.547,332.818,0
99.873,292.053,251.651,278.314,52.782,89.398,25.049,267.539,255.209,198.679,232.658,91.185,129.666,59.44,63.146,73.363,60.905,63.952,61.122,49.615,52.874,60.477,842.621,667.891,9.524,0.277,2803.222,859.606,3006.958,0.074,120.055,241.306,213.868,169.66,100.0,95.063,1000.0,0.566,331.657,0
99.867,295.166,253.119,280.703,52.402,88.49,26.908,270.299,257.459,199.8,234.917,90.869,129.636,61.651,64.747,74.931,64.94,68.098,65.214,49.676,54.652,62.895,894.471,668.781,9.851,0.273,2802.562,876.61,3007.749,0.073,117.828,241.967,212.65,171.515,100.0,95.026,1000.0,0.555,332.136,0
99.886,299.181,254.9,283.503,51.957,86.262,29.329,273.595,259.812,201.107,237.926,89.543,128.879,64.382,66.994,76.895,71.302,74.641,71.742,48.94,56.923,65.966,973.674,669.065,10.251,0.259,2801.778,894.698,3008.773,0.074,115.226,241.948,209.91,173.703,100.0,95.144,1000.0,0.544,332.828,0
99.873,298.889,254.945,283.414,52.458,87.619,28.492,273.568,259.905,201.519,237.932,90.704,130.173,63.907,66.398,76.464,69.98,73.222,70.326,49.153,56.523,65.563,953.45,666.16,10.236,0.269,2802.575,896.295,3008.306,0.073,116.038,243.645,211.761,174.032,100.0,95.11,1000.0,0.542,333.283,0
99.874,301.502,255.847,285.197,53.201,86.271,28.541,275.525,261.519,201.968,239.55,89.963,129.722,63.969,66.254,76.283,70.525,73.784,70.978,60.205,56.492,65.945,1004.604,666.866,10.511,0.261,2801.372,907.645,3009.132,0.076,112.574,242.631,207.12,174.808,100.0,94.994,1000.0,0.539,332.714,0
99.877,298.273,254.313,282.72,52.614,87.062,28.339,272.859,259.334,200.765,237.186,90.011,129.468,63.535,66.145,76.278,69.772,73.037,70.174,63.158,56.156,65.057,954.933,667.011,10.184,0.264,2805.546,891.916,3008.557,0.073,113.953,242.578,208.673,173.531,100.0,94.967,1000.0,0.548,332.855,0
99.834,296.71,253.868,281.8,52.71,88.377,27.468,271.731,258.588,200.866,236.391,91.063,130.494,62.613,65.439,75.692,67.869,71.083,68.195,48.396,55.437,64.215,916.365,667.813,10.024,0.274,2802.855,885.443,3007.859,0.072,115.493,244.082,211.052,173.203,100.0,95.017,1000.0,0.574,332.454,0
99.83,297.214,254.135,282.199,52.836,88.863,26.325,272.018,258.908,200.964,236.82,91.509,131.005,61.4,64.644,74.882,66.591,69.803,66.921,48.702,54.291,63.28,915.351,668.75,10.069,0.279,2803.182,887.176,3007.827,0.074,115.582,242.699,209.801,173.163,100.0,94.918,1000.0,0.594,331.568,0
